season,type_forest,distance,Media
19_20,Galeria,5,0.5545
19_20,Galeria,100,0.06716666666666667
19_20,Plateau,5,0.39725
19_20,Plateau,100,0.657
20_21,Galeria,5,0.19419999999999998
20_21,Galeria,100,0.18
20_21,Plateau,5,0.402
20_21,Plateau,100,0.35419999999999996
