mort_factor,n,Media,SD,SE
Pred,40,0.339975,0.3406330823552988,0.05385881933232286
Unknown,56,0.3385892857142858,0.4288991310441065,0.057314057209003774
Dessic,40,0.099025,0.10615650939617169,0.01678481790724842
Infert,40,0.0348,0.08200412747585892,0.012965991017925432
Paras,20,0.00635,0.028398063314247334,0.006350000000000001
Drowning,16,0.0049375,0.003473110997362451,8.682777493406128e-4
Dislodg,40,0.0020250000000000008,0.012807224523681925,0.002024999999999998
Parasitism,8,3.7500000000000006e-4,0.0010606601717798214,3.75e-4
Predation,8,3.7500000000000006e-4,0.0010606601717798214,3.75e-4
